ID,Sent1,Sent2,Score
3,A pair of dogs playing with a purple ball.,Two dogs play with purple football.,4.4
4,a bird lands in the water.,a boat floats in the water.,0.6
7,Three children stand on or near a fence.,The three children are standing on and by a fence.,4.6
8,A black dog emerges from the water with a white ball in its mouth.,a black dog walking out of the water with a white ball in his mouth.,4.8
11,A girl in a purple shirt and pink headband posing,A young girl wearing a hat and blue jeans is on a swing.,0.4
13,A brown dog digging a hole in front of a plant,A group of people walking on the side of a railroad track.,0.0
15,The brown and white dog swims in a swimming pool.,A brown and white dog swims in a backyard swimming pool.,4.6
16,Two gray dogs run together over the green grass.,Two grey dogs running in green grass.,4.6
17,A boy in a red sled is riding down the hill.,A multicolour dog in a red collar crouching on the grass.,0.0
22,Two dogs play in the grass.,Two dogs playing in the snow.,2.8
23,A black and brown dog runs through the woods.,A dog running through the woods.,4.0
25,The two dogs are running on the grass.,Two dogs are playing in the grass.,4.4
26,Two dogs are running in a grassy field,Two dogs running through a grassy field.,5.0
27,The couple is sitting near the water in lawn chairs.,The boy hops from one picnic table to the other in the park.,0.0
29,Three people sit at a picnic table outside of a building painted like a union jack.,Three people sit at an outdoor table in front of a building painted like the Union Jack.,4.8
32,A young girl holds up a peace sign.,A little girl holds onto a pole on a city street.,0.6
33,A man is hanging by a line off a cliff above water.,Man sitting by himself on a pier with a bottle of water.,0.6
34,A man crouching and holding a camera.,The crouching man is holding a large camera.,4.6
36,Man riding a bicycle down a narrow path.,A man riding a unicycle down a paved road,2.6
37,A man wearing an orange coat speaks to another as they walk in the snow.,A man and woman dressed in old fashion clothing sit outside at a table.,0.6
38,A dog swims through the water.,A dog wearing a cape is running through the snow.,1.4
40,German Shephard jumping through black hoop while people watch,A dog jumps through a hoop.,3.2
42,A dog is jumping up in the air to catch a toy.,A black dog jumps in the air to catch a toy.,4.0
43,A young laughing girl and a boy are playing on a big drum.,A baby girl and little boy are standing next to a guitar and a drum.,2.4
45,A brown dog laying on a blue cover.,A person is diving into clear blue water.,0.0
46,The two boys play in the field.,The two people have their heads covered with scarves.,0.0
47,The brown dog runs on the snow with a white ball in his mouth.,Four dogs play in the snow with the city skyline behind them.,1.8
50,A group of people standing in the street,A woman addressing a diverse group of people standing in the street.,2.6
54,A dog runs on brown grass.,A wet dog runs through the yellow grass holding a tennis ball.,2.2
59,The two dogs are running through the grass.,Three dogs run in the snow.,2.2
61,The man and two young boys jump on a trampoline.,A man and two boys jump on a trampoline.,4.6
62,"A man eating an apple, sitting in public.",A man sits in a public place eating an apple.,5.0
63,A boy with a broken arm is resting in a bed.,A boy with a broken arm is sleeping.,4.0
66,boy doing tricks on a skateboard,A boy does a trick on a skateboard.,4.8
68,two young girls hug each other in the grass.,two young girls holding each other on the grassy ground,4.6
69,Two white dogs are walking through deep white snow.,Two white dogs walk through a huge bank of mountain snow.,4.6
70,Four girls in swimsuits are playing volleyball at the beach.,Four women in bikinis are playing volleyball on the beach.,4.8
71,A bird flies across the water.,A bird flies above the water.,4.8
73,A dog is running through a pond,A pale dog is running along a dirt path.,1.4
77,Three dogs playing in the snow.,Three dogs are playing in the water.,2.6
78,A little girl with a ribbon in her hair is picking her nose.,A little girl in a purple shirt and helmet is riding on a scooter.,1.2
83,A man and a woman watch two dogs.,A man in a maroon bathing suit swings on a rope on a lake.,0.4
84,A man sits by a dock looking at the water.,A man jumps off a rock into the water,1.33
85,A young girl going down a tube slide.,A young girl swinging off a tire swing,1.8
89,"Many people are in the bicycle racing, including one man in a three-wheeled bike.",A man riding on a three-wheeled wheelchair.,2.6
93,A group of people are wearing bunny ears.,A group of people ride in a race,0.8
96,"A dog in a ""superman"" shirt sleeps on a blanket.",A brown dog in a Superman shirt is laying on a blue blanket.,4.0
97,A brown and white dog is running through the snow.,a brown and white dog is running on the grass.,2.4
101,The white and brown dog runs across the grass.,A brown and white dog runs across the grass.,4.8
104,A man and a woman are standing in front of a building,Two girls are sitting on an ATV on the sand in front of a bridge.,0.4
108,A brown dog is resting its paws on a laptop keyboard.,A dog sits with its paws on a laptop computer.,3.8
109,A young girl with glasses sits and holds two American flags.,A girl in glasses is looking over two American flags near a wooded area.,2.6
110,A small white and brown dog is jumping over a horizontal pole.,a brown and white dog jumping over a red and yellow pole,3.0
118,Two dogs are running through a grassy area.,Two dogs running through a grassy field.,4.8
119,Kids playing ball in the park.,Two dogs playing by the shore.,0.6
123,A man is swinging on a rope above the water.,A man in warm clothes swinging on monkey bars at night.,1.6
124,A man in a dress suit is riding a bike down the paved road.,A man is using a large pole to remove letters from a sign.,0.2
125,Two Asian men and Asian woman sit in black massage chairs.,Two Asian men and a woman are relaxing in massage chairs.,4.6
126,A black and white dog is running in a grassy garden surrounded by a white fence.,A black and white dog is jumping over a hurdle.,2.2
128,The group of hikers is resting in front of a mountain.,Several hikers rest with their gear in front of a mountain.,4.8
129,A girl playing is a pile of colorful balls.,A little girl plays in a pit of colorful balls.,5.0
133,An older man is standing outside in front of a truck.,A woman dressed in green is roller skating outside at an event.,0.0
135,Smiling man with reflective classes.,A gentleman smiling and showing his reflective sunglasses.,4.6
136,five people standing on a sidewalk,Five people on a sidewalk.,4.8
140,Two girls in blue and teal dresses and large hats are standing next to a large tree trunk.,"A woman, a little boy, and a tiny baby are standing in front of a cow statue.",1.2
142,The white dog runs across the snow.,A white bear walks along snow-covered ground and casts a shadow on the snow.,1.4
146,A young boy in a brown jacket playing with snow.,Two dogs are playing in the snow.,1.2
150,Three dolphins are jumping out of a pool in front of a crowd of people.,A man is giving a presentation in front of a lot of people.,0.6
151,A man picking up a big rock.,A woman picking up a large rock.,2.4
152,A white and brown dog is running over grass.,A brown and white dog is running across the grass.,4.6
154,The dog is running through a field.,A dog runs through a field.,4.8
155,A black and white dog is jumping into the water.,a white dog runs across the water.,2.8
157,Man is carrying a tool box down the sidewalk.,A woman is riding a blue bicycle in a park.,0.0
158,"A man wearing a t-shirt that says ""Gigolo"" stands at the counter talking to someone.","A man wearing a shirt that says ""Gigolo"" is standing at a front desk area with his back to the camera.",3.4
159,A tent and a campsite in a sunlit forest.,A white dog on a beach is carrying a stick in its mouth.,0.0
160,Two large dogs running in some grass.,Two brindle dogs running in the grass.,4.2
161,A dog swimming with a stick in it's mouth.,A dog running with a stick in it's mouth.,2.6
165,A woman is sitting up asleep with her head resting on her hand.,A man who is resting his head on his hand.,2.2
166,A young boy jumping into a lake.,The boy is jumping into a lake.,4.6
173,A man playing fetch with two brown dogs.,A woman plays with a brown dog.,2.33
174,A tan and white dog retrieving a ball on a gravel path.,A large dog walks along a gravel path in the woods.,2.0
176,a dog is running across the sand with a stick in it's mouth.,A dog is running through a creek with a stick in its mouth.,3.6
177,A man is standing in water near a waterfall.,A man wades in the water and watches a water fall.,3.4
178,A black dog is chasing two birds on the shore of the ocean.,A dog is running along the beach beside the ocean.,2.6
180,A man and a woman on a bench.,A man and woman sit on a park bench.,3.6
184,A tan dog jumps up to catch a tennis ball.,A red dog jumps an catches a tennis ball in its mouth.,3.0
186,The man is jumping into the water.,The man is up in the air.,2.4
188,A woman in a black shirt stands in front of bananas at a fruit stand.,a woman wearing black stands in front of a pickup truck.,2.4
189,A child is jumping into a swimming pool.,A dog jumping into a swimming pool.,1.2
193,A little boy jumping from one chair to another.,A young boy jumping from one chair to another in his house,4.8
194,"A girl swings her long, wet hair in a lake.",A person riding a dirt bike.,0.0
195,Two dogs playing by the shore.,Two dogs playing in the snow.,2.8
196,A little girl walks on a boardwalk with blue domes in the background.,A man going over a jump on his bike with a river in the background,0.0
197,A brown and white dog is walking up snowy steps.,A black and white dog frolics in the snow.,2.6
198,The brown dog is laying down on a blue sheet.,A brown dog and two black dogs in an overgrown grassy field.,0.8
201,"Two women sitting on a bench, their faces obscured, with one woman carrying an inflatable tiger and the other woman in a Disney snow white costume.",A girl sits on a bench holding an inflatable tiger next to another girl in a colorful outfit.,2.2
202,A guy and two girls are smiling at the camera.,"Three dogs, one white and two brown, are running together on a field of grass.",0.0
203,A dog swimming with a stick in it's mouth.,Dog swimming in the water with a stick in its mouth.,5.0
205,A black poodle plays in the snow.,A black poodle frolics in the snow.,5.0
208,two girls holding up a scary movie flyer,Two girls holding sacks are standing in a field.,1.4
210,Three boys are running on the beach playing a game.,Two young boys and one young man run on a beach with water behind them.,3.2
213,A girl is wearing a purple sash and matching skirt.,A group of girls stands wearing jean skirts and superman shirts.,1.6
216,Two dogs fighting in the snow.,Two dogs standing in the snow.,2.4
217,The man and two young boys jump on a trampoline.,A man and two boys are bouncing on a trampoline.,4.8
