ID,Sent1,Sent2,Score,Dataset,Domain
0,render one language in another language,restate (words) from one language into another language.,5.0,STS2012-gold,surprise.OnWN
1,"nations unified by shared interests, history or institutions",a group of nations having common interests.,3.25,STS2012-gold,surprise.OnWN
2,"convert into absorbable substances, (as if) with heat or chemical process","soften or disintegrate by means of chemical action, heat, or moisture.",3.25,STS2012-gold,surprise.OnWN
3,"devote or adapt exclusively to an skill, study, or work",devote oneself to a special area of work.,4.0,STS2012-gold,surprise.OnWN
4,elevated wooden porch of a house,a porch that resembles the deck on a ship.,3.25,STS2012-gold,surprise.OnWN
5,either half of an archery bow,either of the two halves of a bow from handle to tip.,4.0,STS2012-gold,surprise.OnWN
6,a removable device that is an accessory to larger object,a supplementary part or accessory.,3.333,STS2012-gold,surprise.OnWN
7,restrict or confine,place limits on (extent or access).,4.75,STS2012-gold,surprise.OnWN
8,"orient, be positioned",be opposite.,0.5,STS2012-gold,surprise.OnWN
9,"Bring back to life, return from the dead",cause to become alive again.,4.75,STS2012-gold,surprise.OnWN
10,"anything illusory, not concrete or real",something with no concrete substance.,3.75,STS2012-gold,surprise.OnWN
11,a name or trait that identifies a product or type of thing,a name given to a product or service.,4.0,STS2012-gold,surprise.OnWN
12,the processing or operation of something,"a set sequence of steps, part of larger computer program.",1.5,STS2012-gold,surprise.OnWN
13,"line, cover",cover the front or surface of.,2.5,STS2012-gold,surprise.OnWN
14,determine a standard; estimate a capacity or measurement,estimate the value of.,4.25,STS2012-gold,surprise.OnWN
15,"an interpretation, an account or reading of an event or situation",a mental representation of the meaning or significance of something.,3.5,STS2012-gold,surprise.OnWN
16,"festive social event, celebration",an occasion on which people can assemble for social interaction and entertainment.,4.25,STS2012-gold,surprise.OnWN
17,Make fine adjustments to for optimal operation; adjust to a certain scale.,make fine adjustments or divide into marked intervals for optimal measuring.,5.0,STS2012-gold,surprise.OnWN
18,a short lyric or poem intended to be sung,a narrative song with a recurrent refrain.,3.75,STS2012-gold,surprise.OnWN
19,effectively wield or manipulate a concrete entity,handle effectively.,2.75,STS2012-gold,surprise.OnWN
20,employ or become employed in a position,appoint someone to (a position or a job).,3.5,STS2012-gold,surprise.OnWN
21,group of people defined by a specific profession,organization of performers and associated personnel (especially theatrical).,3.5,STS2012-gold,surprise.OnWN
22,storage cabinet furniture,office furniture consisting of a container for keeping papers in order.,3.5,STS2012-gold,surprise.OnWN
23,Signal (approval or interest) by winking; briefly shut one eye.,signal by winking.,4.25,STS2012-gold,surprise.OnWN
24,capital stock in a corporation,any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate.,2.75,STS2012-gold,surprise.OnWN
25,prove or corroborate,establish or strengthen as with new evidence or facts.,2.25,STS2012-gold,surprise.OnWN
26,(the content of) a communication.,a communication (usually brief) that is written or spoken or signaled.,3.75,STS2012-gold,surprise.OnWN
27,a partial denture,a denture anchored to teeth on either side of missing teeth.,3.0,STS2012-gold,surprise.OnWN
28,"move to a lower position, terminate something",terminate an association with.,2.75,STS2012-gold,surprise.OnWN
29,"flow, as of liquids","reduce or cause to be reduced from a solid to a liquid state, usually by heating.",2.5,STS2012-gold,surprise.OnWN
30,"seal, insulate or protect","treat the body or any part of it by wrapping it, as with blankets or sheets, and applying compresses to it, or stuffing it to provide cover, containment, or therapy, or to absorb blood.",2.25,STS2012-gold,surprise.OnWN
31,scar physically; create a mark on someone or something,make underscoring marks.,2.5,STS2012-gold,surprise.OnWN
